course_id;course_name;course_type;course_period;vacancies;campus;city;state_uf;university;uni_abrev
119356;ENGENHARIA AMBIENTAL E SANITÁRIA;Bacharelado;Integral;25;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119358;MEDICINA VETERINÁRIA;Bacharelado;Integral;25;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119359;DIREITO;Bacharelado;Integral;25;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119360;ENGENHARIA ELÉTRICA - SISTEMAS DE POTÊNCIA;Bacharelado;Integral;10;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119361;PEDAGOGIA;Licenciatura;Matutino;20;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119362;PSICOLOGIA;Bacharelado;Integral;25;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119364;RÁDIO, TV E INTERNET;Bacharelado;Integral;15;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119366;MEDICINA;Bacharelado;Integral;45;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119367;SERVIÇO SOCIAL;Bacharelado;Matutino;17;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119368;NUTRIÇÃO;Bacharelado;Integral;25;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119369;CIÊNCIAS EXATAS - BI/LI;Bacharelado;Integral;122;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119370;ABI - EDUCAÇÃO FÍSICA;Área Básica de Ingresso (ABI);Integral;22;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119372;TURISMO;Bacharelado;Integral;22;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119374;DIREITO;Bacharelado;Integral;25;CAMPUS GOVERNADOR VALADARES - PITÁGORAS;Governador Valadares;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
